|2 | 1 | 55.08 | 82.23 | 88.67 | 27.21 |
|2 | 2 | 52.34 | 81.84 | 88.09 | 26.78 |
|2 | 3 | 61.72 | 88.48 | 93.95 | 30.59 |
|2 | 5 | 57.62 | 81.25 | 90.04 | 28.91 |
|4 | 1 | 46.09 | 74.41 | 83.20 | 22.30 |
|4 | 2 | 36.33 | 69.73 | 78.91 | 20.61 |
|4 | 3 | 50.20 | 78.32 | 86.52 | 23.71 |
|4 | 5 | 39.06 | 66.60 | 76.95 | 20.17 |
|8 | 1 | 36.72 | 69.14 | 77.93 | 18.18 |
|8 | 2 | 25.00 | 56.25 | 66.41 | 15.30 |
|8 | 3 | 27.34 | 57.42 | 69.14 | 14.82 |
|8 | 5 | 22.85 | 45.70 | 54.10 | 12.55 |
|12 | 1 | 29.30 | 63.09 | 74.02 | 16.12 |
|12 | 2 | 23.63 | 52.34 | 61.91 | 13.73 |
|12 | 3 | 21.29 | 45.70 | 62.30 | 12.17 |
|12 | 5 | 17.97 | 36.13 | 45.70 | 9.75 |
|16 | 1 | 26.17 | 58.40 | 71.48 | 14.33 |
|16 | 2 | 22.46 | 49.02 | 60.94 | 12.87 |
|16 | 3 | 16.80 | 40.82 | 53.91 | 11.01 |
|16 | 5 | 15.23 | 32.42 | 41.80 | 8.16 |
|2 | 1 | 55.08 | 82.23 | 88.67 | 27.21 |
|2 | 2 | 52.34 | 81.84 | 88.09 | 26.78 |
|2 | 3 | 61.72 | 88.48 | 93.95 | 30.59 |
