|2 | 1 | 38.42 | 65.55 | 76.86 | 16.62 |
|2 | 2 | 37.61 | 64.97 | 75.44 | 16.44 |
|2 | 3 | 41.64 | 69.70 | 80.00 | 17.34 |
|2 | 4 | 41.29 | 69.90 | 79.76 | 17.93 |
|2 | 5 | 39.26 | 67.54 | 77.87 | 17.28 |
|4 | 1 | 30.93 | 56.75 | 68.45 | 13.06 |
|4 | 2 | 26.49 | 50.78 | 63.05 | 12.36 |
|4 | 3 | 34.35 | 62.78 | 74.68 | 14.07 |
|4 | 4 | 40.65 | 69.01 | 79.42 | 17.24 |
|4 | 5 | 26.18 | 51.67 | 62.98 | 11.96 |
|8 | 1 | 20.93 | 43.48 | 54.71 | 9.03 |
|8 | 2 | 13.50 | 31.90 | 42.15 | 7.57 |
|8 | 3 | 18.48 | 41.24 | 54.00 | 7.82 |
|8 | 4 | 38.40 | 67.18 | 77.92 | 15.73 |
|8 | 5 | 7.95 | 20.48 | 28.73 | 4.77 |
|12 | 1 | 13.50 | 31.90 | 43.30 | 6.56 |
|12 | 2 | 9.91 | 25.56 | 35.13 | 6.19 |
|12 | 3 | 12.74 | 31.36 | 43.11 | 5.75 |
|12 | 4 | 36.46 | 65.51 | 76.69 | 14.58 |
|12 | 5 | 2.97 | 9.30 | 14.50 | 2.51 |
|16 | 1 | 8.74 | 22.50 | 31.79 | 4.88 |
|16 | 2 | 8.88 | 23.40 | 32.49 | 5.57 |
|16 | 3 | 9.60 | 25.74 | 36.44 | 4.78 |
|16 | 4 | 34.98 | 64.30 | 75.73 | 13.61 |
|16 | 5 | 1.81 | 5.33 | 8.76 | 1.72 |
